Date,APR_ParProx_w2p5_lin_score1p5_NAV,APR_ParProx_w2p5_sq_score1p5_NAV,APR_ParProx_w2p5_sqrt_score1p5_NAV,AUG_ParProx_w2p5_lin_score1p5_NAV,AUG_ParProx_w2p5_sq_score1p5_NAV,AUG_ParProx_w2p5_sqrt_score1p5_NAV,DEC_ParProx_w2p5_lin_score1p5_NAV,DEC_ParProx_w2p5_sq_score1p5_NAV,DEC_ParProx_w2p5_sqrt_score1p5_NAV,FEB_ParProx_w2p5_lin_score1p5_NAV,FEB_ParProx_w2p5_sq_score1p5_NAV,FEB_ParProx_w2p5_sqrt_score1p5_NAV,JAN_BUFR_NAV,JAN_ParProx_w2p5_lin_score1p5_NAV,JAN_ParProx_w2p5_sq_score1p5_NAV,JAN_ParProx_w2p5_sqrt_score1p5_NAV,JUL_ParProx_w2p5_lin_score1p5_NAV,JUL_ParProx_w2p5_sq_score1p5_NAV,JUL_ParProx_w2p5_sqrt_score1p5_NAV,JUN_ParProx_w2p5_lin_score1p5_NAV,JUN_ParProx_w2p5_sq_score1p5_NAV,JUN_ParProx_w2p5_sqrt_score1p5_NAV,MAR_ParProx_w2p5_lin_score1p5_NAV,MAR_ParProx_w2p5_sq_score1p5_NAV,MAR_ParProx_w2p5_sqrt_score1p5_NAV,MAY_ParProx_w2p5_lin_score1p5_NAV,MAY_ParProx_w2p5_sq_score1p5_NAV,MAY_ParProx_w2p5_sqrt_score1p5_NAV,NOV_ParProx_w2p5_lin_score1p5_NAV,NOV_ParProx_w2p5_sq_score1p5_NAV,NOV_ParProx_w2p5_sqrt_score1p5_NAV,OCT_ParProx_w2p5_lin_score1p5_NAV,OCT_ParProx_w2p5_sq_score1p5_NAV,OCT_ParProx_w2p5_sqrt_score1p5_NAV,SEP_ParProx_w2p5_lin_score1p5_NAV,SEP_ParProx_w2p5_sq_score1p5_NAV,SEP_ParProx_w2p5_sqrt_score1p5_NAV,APR_ParProx_w2p5_lin_score1p5_Return,APR_ParProx_w2p5_sq_score1p5_Return,APR_ParProx_w2p5_sqrt_score1p5_Return,AUG_ParProx_w2p5_lin_score1p5_Return,AUG_ParProx_w2p5_sq_score1p5_Return,AUG_ParProx_w2p5_sqrt_score1p5_Return,DEC_ParProx_w2p5_lin_score1p5_Return,DEC_ParProx_w2p5_sq_score1p5_Return,DEC_ParProx_w2p5_sqrt_score1p5_Return,FEB_ParProx_w2p5_lin_score1p5_Return,FEB_ParProx_w2p5_sq_score1p5_Return,FEB_ParProx_w2p5_sqrt_score1p5_Return,JAN_ParProx_w2p5_lin_score1p5_Return,JAN_ParProx_w2p5_sq_score1p5_Return,JAN_ParProx_w2p5_sqrt_score1p5_Return,JUL_ParProx_w2p5_lin_score1p5_Return,JUL_ParProx_w2p5_sq_score1p5_Return,JUL_ParProx_w2p5_sqrt_score1p5_Return,JUN_ParProx_w2p5_lin_score1p5_Return,JUN_ParProx_w2p5_sq_score1p5_Return,JUN_ParProx_w2p5_sqrt_score1p5_Return,MAR_ParProx_w2p5_lin_score1p5_Return,MAR_ParProx_w2p5_sq_score1p5_Return,MAR_ParProx_w2p5_sqrt_score1p5_Return,MAY_ParProx_w2p5_lin_score1p5_Return,MAY_ParProx_w2p5_sq_score1p5_Return,MAY_ParProx_w2p5_sqrt_score1p5_Return,NOV_ParProx_w2p5_lin_score1p5_Return,NOV_ParProx_w2p5_sq_score1p5_Return,NOV_ParProx_w2p5_sqrt_score1p5_Return,OCT_ParProx_w2p5_lin_score1p5_Return,OCT_ParProx_w2p5_sq_score1p5_Return,OCT_ParProx_w2p5_sqrt_score1p5_Return,SEP_ParProx_w2p5_lin_score1p5_Return,SEP_ParProx_w2p5_sq_score1p5_Return,SEP_ParProx_w2p5_sqrt_score1p5_Return
12/3/2021,104.8636188,104.8636188,105.1638775,100.9005927,100.9005927,100.9005927,,,,109.8728075,109.8728075,110.1874091,,,,,102.4227548,102.4227548,102.4227548,104.0348949,104.0348949,104.0348949,109.6645309,109.4712167,109.9785362,104.3546433,104.3546433,104.3546433,97.51230889,97.51230889,97.51230889,100.0144991,100.0144991,100.0144991,100.94,100.94,100.94,-0.007196315,-0.007196315,-0.0073256,-0.0073256,-0.0073256,-0.0073256,,,,-0.007196315,-0.007196315,-0.0073256,,,,-0.0056322,-0.0056322,-0.0056322,-0.006741119,-0.006741119,-0.006741119,-0.007196315,-0.006741119,-0.0073256,-0.007196315,-0.007196315,-0.007196315,-0.005286809,-0.005286809,-0.005286809,-0.007196315,-0.007196315,-0.007196315,-0.006116112,-0.006116112,-0.006116112
12/6/2021,105.7149326,105.7149326,106.158959,101.8553341,101.8553341,101.8553341,,,,110.7647874,110.7647874,111.2300242,,,,,103.2336125,103.2336125,103.2336125,104.6888212,104.6888212,104.6888212,110.5548199,110.1593138,111.0191749,105.2018251,105.2018251,105.2018251,98.10831822,98.10831822,98.10831822,100.8264463,100.8264463,100.8264463,101.8811594,101.8811594,101.8811594,0.008118295,0.008118295,0.009462198,0.009462198,0.009462198,0.009462198,,,,0.008118295,0.008118295,0.009462198,,,,0.007916772,0.007916772,0.007916772,0.006285645,0.006285645,0.006285645,0.008118295,0.006285645,0.009462198,0.008118295,0.008118295,0.008118295,0.006112145,0.006112145,0.006112145,0.008118295,0.008118295,0.008118295,0.009323949,0.009323949,0.009323949
12/7/2021,107.0831155,107.0831155,107.2172157,102.8706897,102.8706897,102.8706897,,,,112.1983264,112.1983264,112.3388324,,,,,104.3794398,104.3794398,104.3794398,105.6711201,105.6711201,105.6711201,111.9856416,111.1929426,112.1258812,106.5633672,106.5633672,106.5633672,99.74086551,99.74086551,99.74086551,102.1313615,102.1313615,102.1313615,103.0643478,103.0643478,103.0643478,0.012942192,0.012942192,0.009968605,0.009968605,0.009968605,0.009968605,,,,0.012942192,0.012942192,0.009968605,,,,0.011099363,0.011099363,0.011099363,0.009383035,0.009383035,0.009383035,0.012942192,0.009383035,0.009968605,0.012942192,0.012942192,0.012942192,0.016640254,0.016640254,0.016640254,0.012942192,0.012942192,0.012942192,0.011613417,0.011613417,0.011613417
12/8/2021,107.4175602,107.4175602,107.6226608,103.2596983,103.2596983,103.2596983,,,,112.5487471,112.5487471,112.7636451,,,,,104.6589662,104.6589662,104.6589662,106.1469079,106.1469079,106.1469079,112.335398,111.6935926,112.5498886,106.8961886,106.8961886,106.8961886,100,100,100,102.4503407,102.4503407,102.4503407,103.3342029,103.3342029,103.3342029,0.003123225,0.003123225,0.00378153,0.00378153,0.00378153,0.00378153,,,,0.003123225,0.003123225,0.00378153,,,,0.002677984,0.002677984,0.002677984,0.004502534,0.004502534,0.004502534,0.003123225,0.004502534,0.00378153,0.003123225,0.003123225,0.003123225,0.002598077,0.002598077,0.002598077,0.003123225,0.003123225,0.003123225,0.002618316,0.002618316,0.002618316
12/9/2021,107.2047318,107.2047318,107.1453362,102.8017241,102.8017241,102.8017241,,,,112.3257521,112.3257521,112.2635193,,,,,104.3133122,104.3133122,104.3133122,105.8636338,105.8636338,105.8636338,112.1128257,111.395516,112.0507109,106.6843932,106.6843932,106.6843932,99.55947137,99.55947137,99.55947137,102.2473539,102.2473539,102.2473539,102.9855072,102.9855072,102.9855072,-0.001981319,-0.001981319,-0.004435168,-0.004435168,-0.004435168,-0.004435168,,,,-0.001981319,-0.001981319,-0.004435168,,,,-0.00330267,-0.00330267,-0.00330267,-0.002668699,-0.002668699,-0.002668699,-0.001981319,-0.002668699,-0.004435168,-0.001981319,-0.001981319,-0.001981319,-0.004405286,-0.004405286,-0.004405286,-0.001981319,-0.001981319,-0.001981319,-0.003374446,-0.003374446,-0.003374446
12/10/2021,107.8736212,107.8736212,107.8950167,103.5210129,103.5210129,103.5210129,,,,113.0265935,113.0265935,113.049011,,,,,104.8172105,104.8172105,104.8172105,106.2962963,106.2962963,106.2962963,112.8123385,111.8507872,112.8347135,107.350036,107.350036,107.350036,100.2591345,100.2591345,100.2591345,102.8853125,102.8853125,102.8853125,103.4872464,103.4872464,103.4872464,0.006239365,0.006239365,0.006996855,0.006996855,0.006996855,0.006996855,,,,0.006239365,0.006239365,0.006996855,,,,0.004830624,0.004830624,0.004830624,0.004086979,0.004086979,0.004086979,0.006239365,0.004086979,0.006996855,0.006239365,0.006239365,0.006239365,0.00702759,0.00702759,0.00702759,0.006239365,0.006239365,0.006239365,0.004871939,0.004871939,0.004871939
12/13/2021,107.1439237,107.1439237,107.4188152,103.0641164,103.0641164,103.0641164,,,,112.2620393,112.2620393,112.550062,,,,,104.3690442,104.3690442,104.3690442,106.0375444,106.0375444,106.0375444,112.0492337,111.5785142,112.3367104,106.6238802,106.6238802,106.6238802,99.55947137,99.55947137,99.55947137,102.1893577,102.1893577,102.1893577,102.9730435,102.9730435,102.9730435,-0.006764374,-0.006764374,-0.004413563,-0.004413563,-0.004413563,-0.004413563,,,,-0.006764374,-0.006764374,-0.004413563,,,,-0.004275694,-0.004275694,-0.004275694,-0.002434251,-0.002434251,-0.002434251,-0.006764374,-0.002434251,-0.004413563,-0.006764374,-0.006764374,-0.006764374,-0.006978547,-0.006978547,-0.006978547,-0.006764374,-0.006764374,-0.006764374,-0.004968756,-0.004968756,-0.004968756
12/14/2021,106.6878627,106.6878627,106.9493524,102.6136853,102.6136853,102.6136853,,,,111.7841929,111.7841929,112.0581736,,,,,103.9555299,103.9555299,103.9555299,105.6215119,105.6215119,105.6215119,111.5722931,111.1407421,111.8457544,106.1700328,106.1700328,106.1700328,98.93754859,98.93754859,98.93754859,101.754386,101.754386,101.754386,102.5052174,102.5052174,102.5052174,-0.004256527,-0.004256527,-0.004370396,-0.004370396,-0.004370396,-0.004370396,,,,-0.004256527,-0.004256527,-0.004370396,,,,-0.00396204,-0.00396204,-0.00396204,-0.003923445,-0.003923445,-0.003923445,-0.004256527,-0.003923445,-0.004370396,-0.004256527,-0.004256527,-0.004256527,-0.006246746,-0.006246746,-0.006246746,-0.004256527,-0.004256527,-0.004256527,-0.00454319,-0.00454319,-0.00454319
12/15/2021,107.6273483,107.6273483,107.8745198,103.501347,103.501347,103.501347,,,,112.7685564,112.7685564,113.027535,,,,,104.7854461,104.7854461,104.7854461,106.2909409,106.2909409,106.2909409,112.5547906,111.8451519,112.8132782,107.1049584,107.1049584,107.1049584,99.9481731,99.9481731,99.9481731,102.6504277,102.6504277,102.6504277,103.4550725,103.4550725,103.4550725,0.008805928,0.008805928,0.008650519,0.008650519,0.008650519,0.008650519,,,,0.008805928,0.008805928,0.008650519,,,,0.007983378,0.007983378,0.007983378,0.006337998,0.006337998,0.006337998,0.008805928,0.006337998,0.008650519,0.008805928,0.008805928,0.008805928,0.010214772,0.010214772,0.010214772,0.008805928,0.008805928,0.008805928,0.009266407,0.009266407,0.009266407
12/16/2021,107.1202085,107.1202085,107.3980375,103.044181,103.044181,103.044181,,,,112.2371913,112.2371913,112.5282918,,,,,104.3439215,104.3439215,104.3439215,105.9025311,105.9025311,105.9025311,112.0244328,111.4364459,112.3149814,106.6002802,106.6002802,106.6002802,99.53355792,99.53355792,99.53355792,102.1667392,102.1667392,102.1667392,102.8985507,102.8985507,102.8985507,-0.004711998,-0.004711998,-0.004417005,-0.004417005,-0.004417005,-0.004417005,,,,-0.004711998,-0.004711998,-0.004417005,,,,-0.004213607,-0.004213607,-0.004213607,-0.003654213,-0.003654213,-0.003654213,-0.004711998,-0.003654213,-0.004417005,-0.004711998,-0.004711998,-0.004711998,-0.004148302,-0.004148302,-0.004148302,-0.004711998,-0.004711998,-0.004711998,-0.005379357,-0.005379357,-0.005379357
12/17/2021,106.5358424,106.5358424,106.6118558,102.2898707,102.2898707,102.2898707,100,100,100,111.6249108,111.6249108,111.7045553,,,,,103.8154779,103.8154779,103.8154779,105.6147472,105.6147472,105.6147472,111.4133129,111.1336238,111.4928064,106.0187504,106.0187504,106.0187504,98.85980824,98.85980824,98.85980824,101.6093954,101.6093954,101.6093954,102.3855072,102.3855072,102.3855072,-0.005455237,-0.005455237,-0.007320261,-0.007320261,-0.007320261,-0.007320261,,,,-0.005455237,-0.005455237,-0.007320261,,,,-0.00506444,-0.00506444,-0.00506444,-0.002717442,-0.002717442,-0.002717442,-0.005455237,-0.002717442,-0.007320261,-0.005455237,-0.005455237,-0.005455237,-0.006769071,-0.006769071,-0.006769071,-0.005455237,-0.005455237,-0.005455237,-0.004985915,-0.004985915,-0.004985915
12/20/2021,105.8365489,105.8365489,105.9660637,101.6702586,101.6702586,101.6702586,99.24715826,99.24715826,99.24715826,110.8922131,110.8922131,111.0279146,,,,,103.2708634,103.2708634,103.2708634,105.031287,105.031287,105.031287,110.6820041,110.5196751,110.8174484,105.322851,105.322851,105.322851,98.21197201,98.21197201,98.21197201,100.9424387,100.9424387,100.9424387,101.7124638,101.7124638,101.7124638,-0.006563927,-0.006563927,-0.006057414,-0.006057414,-0.006057414,-0.006057414,-0.007528417,-0.007528417,-0.007528417,-0.006563927,-0.006563927,-0.006057414,,,,-0.005245986,-0.005245986,-0.005245986,-0.00552442,-0.00552442,-0.00552442,-0.006563927,-0.00552442,-0.006057414,-0.006563927,-0.006563927,-0.006563927,-0.00655308,-0.00655308,-0.00655308,-0.006563927,-0.006563927,-0.006563927,-0.006573621,-0.006573621,-0.006573621
12/21/2021,106.809479,106.809479,107.0824417,102.7413793,102.7413793,102.7413793,100.3497523,100.3497523,100.3497523,111.9116186,111.9116186,112.1976204,,,,,104.1874098,104.1874098,104.1874098,105.7655448,105.7655448,105.7655448,111.6994773,111.2923014,111.9849369,106.2910588,106.2910588,106.2910588,99.11894273,99.11894273,99.11894273,101.8703784,101.8703784,101.8703784,102.7713043,102.7713043,102.7713043,0.009192761,0.009192761,0.010535241,0.010535241,0.010535241,0.010535241,0.011109577,0.011109577,0.011109577,0.009192761,0.009192761,0.010535241,,,,0.008875169,0.008875169,0.008875169,0.006990849,0.006990849,0.006990849,0.009192761,0.006990849,0.010535241,0.009192761,0.009192761,0.009192761,0.009234828,0.009234828,0.009234828,0.009192761,0.009192761,0.009192761,0.010410136,0.010410136,0.010410136
